condition,symbol,horizon,n,mean,median,win_rate,tail_loss_p05,evidence_type
HIGH_PRICE_BACK_NARROWING,RB,40,208,0.019953644250480903,0.0038965214616567545,0.5144230769230769,-0.07839830238825826,local_evidence
HIGH_PRICE_BACK_NARROWING,SI,1,1,-0.021398002853067033,-0.021398002853067033,0.0,-0.021398002853067033,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,HC,1,180,0.000911406012362427,0.0015387934744260923,0.5666666666666667,-0.01346144992375869,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,HC,5,180,0.005598264129849212,0.006887886801597354,0.6111111111111112,-0.031468009637757824,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,HC,10,180,0.007906343182891639,0.01015040826061775,0.6055555555555555,-0.04349075336074305,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,HC,20,180,0.017761481463139148,0.009840820715450782,0.5777777777777777,-0.061470654666028315,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,HC,40,180,0.00910696308557449,-0.0016181140156549811,0.45555555555555555,-0.09179084202488595,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,I,1,318,0.0006259372705789875,0.0006044130923291702,0.5314465408805031,-0.021151351818758313,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,I,5,318,0.00488208953322931,0.0029971385683412732,0.5628930817610063,-0.035269807175683676,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,I,10,318,0.008288554204303966,0.005618746093449478,0.5754716981132075,-0.06881470688774045,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,I,20,318,0.013887307543927105,0.0037630277320134242,0.550314465408805,-0.07493181483119564,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,I,40,318,0.02107911518821416,0.013378468358923201,0.5974842767295597,-0.0845190856848927,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,J,1,157,0.0017784828273350864,0.0019129603060736855,0.535031847133758,-0.024676449256335987,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,J,5,153,0.006425598354687252,0.006140997297961137,0.6078431372549019,-0.09487185352433081,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,J,10,148,0.006971231092651703,0.002682276701125419,0.5135135135135135,-0.14455387306404907,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,J,20,146,0.01232846800905639,0.00010549044867907975,0.5,-0.20444519454022744,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,J,40,146,0.026902388539332158,0.01778664045825351,0.589041095890411,-0.20198942594069347,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,JM,1,225,0.0013611744208371999,-0.0003716090672611916,0.47555555555555556,-0.029018728232706636,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,JM,5,221,0.011168806222324919,0.009828904259191917,0.6289592760180995,-0.04316143497757852,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,JM,10,216,0.016253097419585003,0.01316383438136548,0.6388888888888888,-0.08580582628255021,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,JM,20,211,0.0038847132820646244,0.010242792109256493,0.5924170616113744,-0.2326134672655683,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,JM,40,211,0.027157305158913632,0.02091254752851701,0.5876777251184834,-0.2939285471916763,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,LC,1,72,0.002833536719193374,0.0044054576321573835,0.5416666666666666,-0.10371944307911449,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,LC,5,72,0.005596306676642856,-0.026963811314819286,0.4444444444444444,-0.15372767437886992,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,LC,10,72,0.007030960045862446,-0.028950486998951086,0.4722222222222222,-0.19016193167428058,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,LC,20,72,0.009968586700004707,-0.05174406070381882,0.4305555555555556,-0.19934444414655852,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,LC,40,72,0.11068828830113314,0.025472480595034597,0.5555555555555556,-0.22398705006217526,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,PS,1,45,-0.0011446612851206148,-0.00036944675348660194,0.4888888888888889,-0.0404117977079288,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,PS,5,45,-0.014943208085538109,-0.006460387623257402,0.4444444444444444,-0.13961675641960702,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,PS,10,45,-0.016206678358510265,9.236168837167824e-05,0.5111111111111111,-0.15552150112399998,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,PS,20,45,-0.04494795847662784,-0.009584961846268336,0.4666666666666667,-0.18035273468599045,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,PS,40,45,-0.10133144196453497,-0.06309398099260821,0.17777777777777778,-0.27977503552827865,local_evidence
HIGH_PRICE_SKEW_DETERIORATION,RB,1,169,0.0007017006446552986,0.0002566735112936591,0.5207100591715976,-0.01642619001188488,local_evidence
